employee_id,employee_name,gender,age,DOB,marital_status,department,job_role,education_level,education_field,hire_date,years_at_company,monthly_salary,hourly_rate,overtime,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,training_times_last_year,num_companies_worked,promotion_last_years,distance_from_home,business_travel,city,manager_name,attrition,reason_for_leaving,exit_date,missing_survey_data,duplicate_emp_id,age_group,tenure_group
EMP1784,Jacob Thompson,Male,24.0,1997-04-07,Divorced,Research & Development,Data Analyst,5,Human Resources,2022-01-10,2,105400.0,95.51,No,2.0,4.0,,2.0,0.0,3.0,2,36.3,Travel_Frequently,Matthewmouth,Eric Charles,Yes,Better Opportunity,2022-01-30,True,False,18-25,1-3yr
EMP1198,Randy Morris,Male,45.0,,Single,Human Resources,HR Manager,5,Life Sciences,2018-03-08,6,42300.0,63.09,No,5.0,3.0,4.0,4.0,5.0,3.0,1,,Travel_Rarely,North Joseph,Steven Aguilar,No,,,False,False,36-45,3-6yr
EMP2052,Teresa Jordan,Female,56.0,1988-10-05,Married,Human Resources,HR Executive,4,Marketing,2018-09-11,6,64200.0,66.96,No,4.0,1.0,1.0,2.0,0.0,0.0,2,,Travel_Rarely,Burnettbury,David Sharp,No,,,False,False,46-65,3-6yr
EMP1070,Amanda Johnson,Male,23.0,1968-02-15,Married,Human Resources,HR Manager,5,Business,,1,105600.0,59.52,Yes,1.0,4.0,,,0.0,3.0,0,,Non-Travel,Jamesland,Gina Nelson,No,,,True,False,18-25,<1yr
EMP2183,Todd Frazier,Female,45.0,,Divorced,Human Resources,HR Executive,1,Technical Degree,2018-07-24,6,114000.0,40.77,No,3.0,,3.0,1.0,2.0,5.0,0,10.7,Non-Travel,New Jeffrey,Stephanie Rodriguez,No,,,True,False,36-45,3-6yr
EMP1322,David Long,Female,57.0,,Married,Finance,Finance Manager,1,Business,,1,39500.0,58.77,No,3.0,,2.0,2.0,1.0,4.0,1,26.0,Non-Travel,Danielmouth,Christopher Stafford,Yes,Career Change,2024-05-02,True,False,46-65,<1yr
EMP1897,Kevin Thomas,Female,41.0,,Single,Research & Development,Research Scientist,1,Business,,4,30900.0,57.97,Yes,3.0,,4.0,,4.0,4.0,0,,Travel_Frequently,Port Elizabeth,Wesley Kelley,No,,,True,False,36-45,3-6yr
EMP1756,Ronald Clark,Female,38.0,,Married,Sales,Sales Executive,1,Human Resources,,3,53600.0,76.04,No,5.0,1.0,2.0,1.0,1.0,3.0,3,33.1,Non-Travel,Johnfurt,Vincent Valdez,No,,,False,False,36-45,1-3yr
EMP2337,Robert Robles,Female,49.0,,Divorced,Marketing,Content Strategist,4,Marketing,,5,68100.0,67.65,Yes,1.0,4.0,,1.0,1.0,4.0,3,28.3,Non-Travel,Sarahstad,Marisa Smith,No,,,True,False,46-65,3-6yr
EMP1510,Nathaniel Wood,Male,58.0,,Married,Sales,Sales Manager,5,Technical Degree,2018-07-21,6,60200.0,92.25,Yes,2.0,4.0,4.0,,4.0,3.0,2,11.9,Non-Travel,Jacobsonville,Elizabeth Coffey,No,,,True,False,46-65,3-6yr
EMP1574,Richard Clark,Male,36.0,1996-07-21,Single,Finance,Accountant,2,Marketing,,9,65900.0,56.18,No,3.0,1.0,1.0,2.0,4.0,3.0,1,,Travel_Rarely,Macdonaldborough,Valerie Norris,Yes,Relocation,2017-02-17,False,False,36-45,6+yr
EMP1998,Jason Long,Male,33.0,1993-03-12,Single,Finance,Financial Analyst,2,Marketing,,6,58600.0,30.53,Yes,5.0,2.0,2.0,2.0,2.0,0.0,3,,Travel_Frequently,Bestton,Travis Dunn,Yes,Better Opportunity,,False,False,26-35,3-6yr
EMP1639,Richard Warren,Male,43.0,,Not Disclosed,Sales,Sales Representative,3,Human Resources,,2,48600.0,66.37,No,3.0,,4.0,4.0,1.0,5.0,1,27.9,Non-Travel,Pachecoland,Barbara Smith,No,,,True,False,36-45,1-3yr
EMP2105,Samantha Smith,Female,41.0,,Single,Finance,Financial Analyst,4,Medical,,8,43300.0,51.18,Yes,3.0,3.0,1.0,3.0,5.0,3.0,3,,Non-Travel,Toddmouth,Xavier Brown,No,,,False,False,36-45,6+yr
EMP1444,Scott Walker,Not Disclosed,59.0,,Single,Human Resources,Recruiter,2,Life Sciences,,9,111800.0,44.35,No,3.0,4.0,3.0,1.0,4.0,0.0,2,,Travel_Rarely,New Kevin,James Weber,Yes,Health Issues,2024-12-08,False,False,46-65,6+yr
EMP1860,Mrs. Laura Lewis,Male,37.0,,Divorced,Finance,Finance Manager,3,Medical,,3,69650.0,83.69,Yes,5.0,1.0,1.0,,2.0,3.0,0,27.5,Travel_Frequently,Powellchester,Catherine Wong,No,,,True,False,36-45,1-3yr
EMP1566,Christine Nichols,Male,59.0,,Divorced,Research & Development,Research Scientist,5,Business,,3,20000.0,45.34,No,1.0,,4.0,3.0,2.0,1.0,0,37.2,Non-Travel,West Raymond,Edward Sexton,No,,,True,False,46-65,1-3yr
EMP1956,Edward Jackson,Female,37.0,,Married,Marketing,Marketing Executive,2,Business,,3,41800.0,63.88,Yes,3.0,2.0,4.0,3.0,2.0,6.0,1,,Travel_Rarely,Woodschester,Tracy Perez,No,,,False,False,36-45,1-3yr
